timestamp,src_ip,dst_port,decision
2025-06-26 12:46:12.714124,192.168.181.201,443,ALLOWED
2025-06-26 12:46:12.877208,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:12.906610,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:12.915241,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:12.954107,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:12.981331,192.168.181.201,443,ALLOWED
2025-06-26 12:46:13.261360,192.168.181.201,443,ALLOWED
2025-06-26 12:46:13.290284,192.168.181.201,443,ALLOWED
2025-06-26 12:46:13.586984,20.42.65.85,59547,BLOCKED
2025-06-26 12:46:13.643562,20.42.65.85,59548,BLOCKED
2025-06-26 12:46:13.669704,192.168.181.201,443,ALLOWED
2025-06-26 12:46:14.715108,192.168.181.201,443,ALLOWED
2025-06-26 12:46:14.975655,192.168.181.201,443,ALLOWED
2025-06-26 12:46:15.064092,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:15.090116,192.168.181.201,443,ALLOWED
2025-06-26 12:46:15.116824,192.168.181.201,443,ALLOWED
2025-06-26 12:46:15.147170,192.168.181.201,443,ALLOWED
2025-06-26 12:46:15.298728,20.42.65.85,59550,BLOCKED
2025-06-26 12:46:15.320546,192.168.181.201,443,ALLOWED
2025-06-26 12:46:15.354708,192.168.181.201,443,ALLOWED
2025-06-26 12:46:15.390043,192.168.181.201,443,ALLOWED
2025-06-26 12:46:15.420493,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:15.454321,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:15.484798,192.168.181.201,443,ALLOWED
2025-06-26 12:46:15.611440,20.42.65.85,59550,BLOCKED
2025-06-26 12:46:15.620275,20.42.65.85,59550,BLOCKED
2025-06-26 12:46:15.651733,192.168.181.201,443,ALLOWED
2025-06-26 12:46:15.690306,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:15.714601,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:15.754732,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:15.780036,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:15.804286,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:15.829726,192.168.181.201,443,ALLOWED
2025-06-26 12:46:15.854023,192.168.181.201,443,ALLOWED
2025-06-26 12:46:15.888452,192.168.181.201,443,ALLOWED
2025-06-26 12:46:15.918455,192.168.181.201,443,ALLOWED
2025-06-26 12:46:15.938042,192.168.181.201,443,ALLOWED
2025-06-26 12:46:15.972621,192.168.181.201,443,ALLOWED
2025-06-26 12:46:16.003750,192.168.181.201,443,ALLOWED
2025-06-26 12:46:16.033723,192.168.181.201,443,ALLOWED
2025-06-26 12:46:16.063853,192.168.181.201,443,ALLOWED
2025-06-26 12:46:16.105269,192.168.181.201,443,ALLOWED
2025-06-26 12:46:16.132297,192.168.181.201,443,ALLOWED
2025-06-26 12:46:16.163777,192.168.181.201,443,ALLOWED
2025-06-26 12:46:16.204194,192.168.181.201,443,ALLOWED
2025-06-26 12:46:16.238163,192.168.181.201,443,ALLOWED
2025-06-26 12:46:16.274251,20.42.65.85,59550,BLOCKED
2025-06-26 12:46:16.305113,20.42.65.85,59550,BLOCKED
2025-06-26 12:46:16.336223,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:16.369817,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:16.395758,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:16.421076,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:16.455136,192.168.181.201,443,ALLOWED
2025-06-26 12:46:16.485799,192.168.181.201,443,ALLOWED
2025-06-26 12:46:16.516672,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:16.547346,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:16.588052,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:16.613871,20.42.65.85,59550,BLOCKED
2025-06-26 12:46:16.647084,20.42.65.85,59550,BLOCKED
2025-06-26 12:46:16.687140,20.42.65.85,59550,BLOCKED
2025-06-26 12:46:16.718227,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:16.747237,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:16.773311,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:16.814042,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:16.837822,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:16.871529,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:16.905213,192.168.181.201,443,ALLOWED
2025-06-26 12:46:16.931150,192.168.181.201,443,ALLOWED
2025-06-26 12:46:16.964435,192.168.181.201,443,ALLOWED
2025-06-26 12:46:16.987800,20.42.65.85,59550,BLOCKED
2025-06-26 12:46:17.022304,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:17.053542,20.42.65.85,59550,BLOCKED
2025-06-26 12:46:17.088700,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:17.119462,192.168.181.201,443,ALLOWED
